full_name,neo,pha,sats,H,G,diameter,extent,albedo,rot_per,GM,BV,UB,spec_B,spec_T,orbit_id,epoch,equinox,e,a,q,i,om,w,ma,ad,n,tp,per_y,moid,moid_jup,t_jup,class,producer,data_arc,first_obs,last_obs,n_obs_used,condition_code,rms
   719 Albert (A911 TB),Y,N,0,15.59,,,,,5.801,,,,S,,JPL 257,2460000.5,J2000,0.547,2.637,1.195,11.58,183.86,156.25,10.24,4.08,0.2301,2459956.02,4.28,0.2,1.42,3.14,AMO,Otto Matic,40483,04/10/11,05/08/22,2035,0,0.41003
   887 Alinda (A918 AA),Y,N,0,13.83,-0.12,4.2,,0.31,28.41,,0.832,0.436,,S,JPL 434,2460000.5,J2000,0.5707,2.472,1.061,9.4,110.42,350.48,188.04,3.88,0.2535,2460678.79,3.89,0.0801,1.32,3.22,AMO,Otto Matic,38167,03/02/18,03/08/22,2676,0,0.40156
  1036 Ganymed (A924 UB),Y,N,0,9.21,0.3,37.675,,0.238,10.297,,0.842,0.417,S,S,JPL 1071,2460000.5,J2000,0.533,2.666,1.245,26.69,215.5,132.47,231.16,4.09,0.2264,2460569.53,4.35,0.344,1.95,3.03,AMO,Otto Matic,35962,23/10/24,09/04/23,8192,0,0.35554
  1221 Amor (1932 EA1),Y,N,0,17.38,,1,,,,,,,,,JPL 111,2460000.5,J2000,0.4358,1.919,1.083,11.88,171.32,26.63,49.38,2.76,0.3708,2459867.32,2.66,0.106,2.21,3.78,AMO,Otto Matic,32775,12/03/32,05/12/21,585,0,0.44014
  1566 Icarus (1949 MA),Y,Y,0,16.5,,1,,0.51,2.2726,,0.774,0.52,,,JPL 137,2460000.5,J2000,0.8269,1.078,0.187,22.8,87.95,31.44,352.55,1.97,0.8804,2460008.96,1.12,0.0339,3.22,5.3,APO,Otto Matic,26694,01/07/49,01/08/22,1154,0,0.34701
  1580 Betulia (1950 KA),Y,N,0,14.69,0,5.8,,0.08,6.1324,,0.656,0.249,,C,JPL 277,2460000.5,J2000,0.487,2.198,1.127,52.1,62.26,159.55,137.66,3.27,0.3026,2459545.51,3.26,0.137,1.86,3.06,AMO,Otto Matic,26512,22/05/50,22/12/22,1509,0,0.5103
  1620 Geographos (1951 RA),Y,Y,0,15.32,,2.56,5.0x2.0x2.1,0.29,5.22204,,0.862,0.471,S,S,JPL 740,2460000.5,J2000,0.3355,1.246,0.828,13.34,337.17,276.96,224.05,1.66,0.7089,2460192.27,1.39,0.0294,3.45,5.07,APO,Otto Matic,26138,14/09/51,07/04/23,5265,0,0.3425
  1627 Ivar (1929 SH),Y,N,0,12.75,0.6,9.12,,0.15,4.795,,0.872,0.459,S,S,JPL 1174,2460000.5,J2000,0.3965,1.864,1.125,8.45,133.12,167.81,284,2.6,0.3874,2460196.68,2.54,0.112,2.65,3.88,AMO,Otto Matic,34164,25/09/29,09/04/23,8298,0,0.3463
  1685 Toro (1948 OA),Y,N,0,14.31,,3.4,,0.31,10.1995,,0.88,0.47,S,S,JPL 629,2460000.5,J2000,0.436,1.368,0.771,9.38,274.22,127.23,186.57,1.96,0.6163,2460281.91,1.6,0.0511,3.48,4.71,APO,Otto Matic,27291,17/07/48,06/04/23,3741,0,0.31813
  1862 Apollo (1932 HA),Y,Y,1,16.11,0.09,1.5,,0.25,3.065,,0.819,0.481,Q,Q,JPL 439,2460000.5,J2000,0.5599,1.471,0.647,6.35,35.56,286.06,281.25,2.29,0.5526,2460143,1.78,0.0262,3.07,4.41,APO,Otto Matic,33721,13/12/30,10/04/23,2453,0,0.45565
