spkid,full_name,pdes,name,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
2594913,594913 'Aylo'chaxnim (2020 AV2),594913,'Aylo'chaxnim,,Y,N,0,16.21,,,,,,,,,,,,,,,,,0.78,,JPL 37,2460000.5,60000,2023-02-25.0,J2000,0.1771,0.5554,0.457,15.87,6.7,187.33,83.42,0.65,2.381,2459965.46,2023-01-20.9,151,0.414,0.348,135,4.3,9.99,9.00E-07,5.70E-08,5.10E-07,6.10E-05,2.60E-04,3.10E-04,5.10E-04,6.70E-08,3.70E-07,2.10E-04,2.30E-05,IEO,Otto Matic,772,04/01/20,14/02/22,248,,,2,0.34178,,,,,,,,,
2009172,  9172 Abhramu (1989 OB),9172,Abhramu,,Y,N,0,16.65,,,,,,,,,,,,,,,,,,,JPL 89,2460000.5,60000,2023-02-25.0,J2000,0.5529,2.71,1.211,7.84,287.62,74.1,185.88,4.21,0.221,2460788.46,2025-04-22.9,1.63E+03,4.46,0.251,97.6,1.45,3.11,5.20E-08,4.40E-09,1.40E-07,7.60E-06,4.80E-05,4.80E-05,6.20E-06,6.90E-09,5.40E-10,2.90E-05,4.00E-06,AMO,Otto Matic,11929,07/07/89,05/03/22,395,,,0,0.62715,,,,,,,,,
2004401,  4401 Aditi (1985 TB),4401,Aditi,,Y,N,0,16.08,,,,,,,1.801,,0.343,6.67,,,,,,,,0.54,JPL 221,2460000.5,60000,2023-02-25.0,J2000,0.5632,2.583,1.129,26.63,22.79,68.12,351.15,4.04,0.2374,2460037.77,2023-04-03.2,1.52E+03,4.15,0.334,130,2.24,3.06,2.60E-08,7.90E-09,6.60E-08,8.60E-06,9.10E-06,1.20E-05,4.80E-06,1.20E-08,1.10E-09,2.00E-05,7.00E-06,AMO,Otto Matic,13625,14/10/85,02/02/23,1245,,,0,0.45185,,,,,,,,,
2002101,  2101 Adonis (1936 CA),2101,Adonis,,Y,Y,0,18.72,,,,,,,0.6,,,,,,,,,,,,JPL 47,2460000.5,60000,2023-02-25.0,J2000,0.7643,1.874,0.442,1.32,349.47,43.63,0.33,3.31,0.3842,2459999.65,2023-02-24.1,937,2.57,0.0115,4.49,2.15,3.55,5.90E-08,9.50E-09,1.10E-07,9.60E-06,4.50E-04,4.50E-04,9.30E-06,1.70E-08,2.90E-09,2.40E-05,7.10E-06,APO,Otto Matic,30790,21/02/36,09/06/20,123,0,5,0,0.39458,,,,-3.30E-14,5.70E-15,,,,
2398188,398188 Agni (2010 LE15),398188,Agni,,Y,Y,0,19.33,,,,,,,0.462,,0.137,21.99,,,,,,,,0.01,JPL 138,2460000.5,60000,2023-02-25.0,J2000,0.2732,0.8644,0.628,13.25,134.19,328.61,106.75,1.1,1.226,2459913.45,2022-11-29.9,294,0.804,0.0219,8.5,4.01,6.78,2.90E-08,2.80E-09,2.50E-08,2.60E-06,3.40E-06,1.10E-05,1.50E-05,3.60E-09,6.00E-09,1.20E-05,1.40E-06,ATE,Otto Matic,7726,02/07/01,27/08/22,684,7,6,0,0.30195,,,,-3.20E-14,1.00E-14,,,,
2024761, 24761 Ahau (1993 BW2),24761,Ahau,,Y,N,0,17.44,,,,,,,,,,,,,,,,,,,JPL 170,2460000.5,60000,2023-02-25.0,J2000,0.3058,1.335,0.927,21.92,121.05,287.53,222.53,1.74,0.6391,2460215.61,2023-09-28.1,563,1.54,0.1,39.1,3.71,4.79,3.50E-08,2.70E-09,4.60E-08,4.60E-06,1.10E-05,1.40E-05,1.70E-05,3.50E-09,1.90E-09,2.70E-05,1.70E-06,APO,Otto Matic,10387,28/01/93,07/07/21,816,,,0,0.51838,,,,,,,,,
2326290,326290 Akhenaten (1998 HE3),326290,Akhenaten,,Y,Y,0,21.83,,,,,,,,,,,,,,,,,,,JPL 66,2460000.5,60000,2023-02-25.0,J2000,0.4403,0.8789,0.492,3.38,53.44,309.35,307.57,1.27,1.196,2460044.34,2023-04-09.8,301,0.824,0.00341,1.33,4.19,6.66,5.00E-08,2.80E-09,4.30E-08,3.40E-06,2.60E-05,2.60E-05,1.60E-05,4.00E-09,5.70E-09,1.30E-05,1.40E-06,ATE,Otto Matic,10233,13/04/93,19/04/21,342,1,0,0,0.39362,,,,-3.00E-14,3.60E-15,,,,
2008034,  8034 Akka (1992 LR),8034,Akka,,Y,N,0,18.02,,,,,,,,,,7.283,,,,,,,,,JPL 114,2460000.5,60000,2023-02-25.0,J2000,0.4092,1.83,1.081,2.02,232.83,68.21,126.12,2.58,0.3982,2459683.8,2022-04-14.2,904,2.48,0.0729,28.4,2.67,3.92,3.10E-08,6.20E-09,5.60E-08,3.40E-06,1.10E-04,1.10E-04,3.20E-05,8.70E-09,2.00E-09,7.80E-05,4.60E-06,AMO,Otto Matic,11174,21/05/92,24/12/22,637,,,0,0.55985,,,,,,,,,
2000719,   719 Albert (A911 TB),719,Albert,,Y,N,0,15.59,,,,,,,,,,5.801,,,,,S,,,,JPL 257,2460000.5,60000,2023-02-25.0,J2000,0.547,2.637,1.195,11.58,183.86,156.25,10.24,4.08,0.2301,2459956.02,2023-01-11.5,1.56E+03,4.28,0.2,77.8,1.42,3.14,2.10E-08,2.50E-09,5.70E-08,2.80E-06,1.50E-05,1.50E-05,2.70E-06,3.90E-09,3.30E-10,1.20E-05,2.30E-06,AMO,Otto Matic,40483,04/10/11,05/08/22,2035,,,0,0.41003,,,,,,,,,
2000887,   887 Alinda (A918 AA),887,Alinda,,Y,N,0,13.83,-0.12,,,,,,4.2,,0.31,28.41,,0.832,0.436,,,S,,,JPL 434,2460000.5,60000,2023-02-25.0,J2000,0.5707,2.472,1.061,9.4,110.42,350.48,188.04,3.88,0.2535,2460678.79,2025-01-03.2,1.42E+03,3.89,0.0801,31.2,1.32,3.22,2.70E-08,3.00E-09,6.60E-08,3.10E-06,2.30E-05,2.30E-05,3.70E-06,4.60E-09,4.60E-10,1.60E-05,2.50E-06,AMO,Otto Matic,38167,03/02/18,03/08/22,2676,,,0,0.40156,,,,,,,,,
